bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
atlas_FORNIX_LEFT,RD,3376,20383.999,1.245478,0.469284,1.080744,0.81341
atlas_FORNIX_LEFT,MD,3376,20383.999,0.001432,0.000473,0.00127,0.000813
atlas_FORNIX_LEFT,ISO,3376,20383.999,0.690789,0.083924,0.714204,0.127235
atlas_FORNIX_LEFT,RDI,3376,20383.999,0.440422,0.060973,0.464132,0.089167
atlas_FORNIX_RIGHT,QA,6642,19503.999,0.218857,0.02215,0.220957,0.029348
atlas_FORNIX_RIGHT,QIR,6642,19503.999,0.347709,0.045324,0.347712,0.06823
atlas_FORNIX_RIGHT,FA,6642,19503.999,0.287069,0.037961,0.282941,0.058584
atlas_FORNIX_RIGHT,AD,6642,19503.999,0.001788,0.000343,0.001793,0.000573
atlas_FORNIX_RIGHT,RD,6642,19503.999,1.177651,0.263542,1.171337,0.413832
atlas_FORNIX_RIGHT,MD,6642,19503.999,0.001399,0.000286,0.001405,0.000472
atlas_FORNIX_RIGHT,ISO,6642,19503.999,0.667273,0.064953,0.680597,0.099081
atlas_FORNIX_RIGHT,RDI,6642,19503.999,0.433237,0.042927,0.43987,0.069762
atlas_IL_LEFT,QA,1734,12959.999,0.180083,0.053537,0.157338,0.039567
atlas_IL_LEFT,QIR,1734,12959.999,0.256527,0.093288,0.222578,0.061982
atlas_IL_LEFT,FA,1734,12959.999,0.315702,0.075797,0.286142,0.059419
atlas_IL_LEFT,AD,1734,12959.999,0.001068,0.000136,0.001016,7.1e-05
atlas_IL_LEFT,RD,1734,12959.999,0.64711,0.045104,0.645224,0.070149
atlas_IL_LEFT,MD,1734,12959.999,0.000795,5.1e-05,0.000786,6.8e-05
atlas_IL_LEFT,ISO,1734,12959.999,0.742082,0.060045,0.747737,0.079452
atlas_IL_LEFT,RDI,1734,12959.999,0.47705,0.027867,0.48066,0.04319
atlas_IL_RIGHT,QA,256,5256.0,0.208762,0.029242,0.208001,0.038141
atlas_IL_RIGHT,QIR,256,5256.0,0.31278,0.051859,0.30353,0.067123
atlas_IL_RIGHT,FA,256,5256.0,0.359379,0.03893,0.362565,0.047556
atlas_IL_RIGHT,AD,256,5256.0,0.001127,9.3e-05,0.001087,0.000118
atlas_IL_RIGHT,RD,256,5256.0,0.63581,0.078362,0.604067,0.073077
atlas_IL_RIGHT,MD,256,5256.0,0.000827,9.7e-05,0.000779,7.8e-05
atlas_IL_RIGHT,ISO,256,5256.0,0.690851,0.025489,0.686884,0.022437
atlas_IL_RIGHT,RDI,256,5256.0,0.455394,0.012484,0.45326,0.007959
atlas_THAL_FRONT_LEFT,QA,1787,15887.999,0.203711,0.04658,0.211351,0.063993
atlas_THAL_FRONT_LEFT,QIR,1787,15887.999,0.290265,0.069991,0.29745,0.094005
atlas_THAL_FRONT_LEFT,FA,1787,15887.999,0.347957,0.048824,0.350842,0.049569
atlas_THAL_FRONT_LEFT,AD,1787,15887.999,0.001167,0.000143,0.001126,8e-05
atlas_THAL_FRONT_LEFT,RD,1787,15887.999,0.674742,0.102647,0.653162,0.087272
atlas_THAL_FRONT_LEFT,MD,1787,15887.999,0.000869,0.000111,0.000837,8.7e-05
atlas_THAL_FRONT_LEFT,ISO,1787,15887.999,0.723151,0.052517,0.708693,0.067075
atlas_THAL_FRONT_LEFT,RDI,1787,15887.999,0.470294,0.030874,0.467042,0.04587
atlas_THAL_FRONT_RIGHT,QA,3805,16367.999,0.253657,0.034525,0.251789,0.052269
atlas_THAL_FRONT_RIGHT,QIR,3805,16367.999,0.384069,0.055692,0.387613,0.089365
atlas_THAL_FRONT_RIGHT,FA,3805,16367.999,0.451697,0.044913,0.455121,0.055939
atlas_THAL_FRONT_RIGHT,AD,3805,16367.999,0.001132,9.8e-05,0.001111,7.6e-05
atlas_THAL_FRONT_RIGHT,RD,3805,16367.999,0.530633,0.100807,0.515638,0.066464
atlas_THAL_FRONT_RIGHT,MD,3805,16367.999,0.000763,9.4e-05,0.000745,6.2e-05
atlas_THAL_FRONT_RIGHT,ISO,3805,16367.999,0.680579,0.041298,0.686567,0.049806
atlas_THAL_FRONT_RIGHT,RDI,3805,16367.999,0.458684,0.026276,0.46412,0.025925
