bundle,metrics,n_streamlines,vol_mm3,mean,std,median,IQR
lh_LO-LO_1,AD,1496,5976.0,0.001003,5.3e-05,0.001006,6.9e-05
lh_LO-LO_1,RD,1496,5976.0,0.584246,0.056022,0.576207,0.070208
lh_LO-LO_1,MD,1496,5976.0,0.000741,4.2e-05,0.000732,4.6e-05
lh_LO-LO_1,ISO,1496,5976.0,0.781195,0.033289,0.780618,0.041775
lh_LO-LO_1,RDI,1496,5976.0,0.500737,0.019597,0.501577,0.021246
lh_LO-SP_1,QA,72,2072.0,0.301886,0.024758,0.307004,0.021026
lh_LO-SP_1,QIR,72,2072.0,0.415218,0.040845,0.419751,0.03687
lh_LO-SP_1,FA,72,2072.0,0.427957,0.031168,0.433192,0.023067
lh_LO-SP_1,AD,72,2072.0,0.001086,3.7e-05,0.001077,6.2e-05
lh_LO-SP_1,RD,72,2072.0,0.531128,0.030594,0.519529,0.033121
lh_LO-SP_1,MD,72,2072.0,0.000733,2.1e-05,0.000734,2.8e-05
lh_LO-SP_1,ISO,72,2072.0,0.764633,0.015888,0.762815,0.014523
lh_LO-SP_1,RDI,72,2072.0,0.526234,0.006944,0.524729,0.004123
lh_LOF-FPol_0,QA,59,1720.0,0.193052,0.034598,0.205913,0.017649
lh_LOF-FPol_0,QIR,59,1720.0,0.256182,0.062046,0.281022,0.031791
lh_LOF-FPol_0,FA,59,1720.0,0.370564,0.083074,0.404077,0.034714
lh_LOF-FPol_0,AD,59,1720.0,0.00104,9.3e-05,0.001062,9.8e-05
lh_LOF-FPol_0,RD,59,1720.0,0.559866,0.059355,0.55178,0.085608
lh_LOF-FPol_0,MD,59,1720.0,0.000794,5.2e-05,0.000791,7.7e-05
lh_LOF-FPol_0,ISO,59,1720.0,0.800379,0.088627,0.761125,0.032139
lh_LOF-FPol_0,RDI,59,1720.0,0.51663,0.041742,0.499988,0.015341
lh_LOF-LOF_0,QA,3289,8863.999,0.178391,0.051255,0.172783,0.064252
lh_LOF-LOF_0,QIR,3289,8863.999,0.245425,0.083629,0.236153,0.105859
lh_LOF-LOF_0,FA,3289,8863.999,0.342984,0.079861,0.349171,0.107894
lh_LOF-LOF_0,AD,3289,8863.999,0.00104,0.000101,0.001043,0.000126
lh_LOF-LOF_0,RD,3289,8863.999,0.567636,0.106515,0.560357,0.138744
lh_LOF-LOF_0,MD,3289,8863.999,0.000814,9.5e-05,0.000812,0.000133
lh_LOF-LOF_0,ISO,3289,8863.999,0.770736,0.055498,0.769652,0.077808
lh_LOF-LOF_0,RDI,3289,8863.999,0.495671,0.025573,0.494096,0.035191
lh_LOF-LOF_1,QA,369,5040.0,0.173666,0.035929,0.16858,0.051765
lh_LOF-LOF_1,QIR,369,5040.0,0.234738,0.0628,0.21968,0.101777
lh_LOF-LOF_1,FA,369,5040.0,0.397134,0.083485,0.391442,0.109465
lh_LOF-LOF_1,AD,369,5040.0,0.000931,8.6e-05,0.000906,9.9e-05
lh_LOF-LOF_1,RD,369,5040.0,0.447351,0.06368,0.443596,0.078512
lh_LOF-LOF_1,MD,369,5040.0,0.000706,5.1e-05,0.000698,6.4e-05
lh_LOF-LOF_1,ISO,369,5040.0,0.793867,0.068715,0.790053,0.10897
lh_LOF-LOF_1,RDI,369,5040.0,0.508894,0.033468,0.506297,0.048214
lh_LOF-Or_0,QA,605,4424.0,0.169902,0.04164,0.182102,0.070418
lh_LOF-Or_0,QIR,605,4424.0,0.241674,0.070669,0.268231,0.128221
lh_LOF-Or_0,FA,605,4424.0,0.328981,0.074325,0.35145,0.126021
lh_LOF-Or_0,AD,605,4424.0,0.001015,8.5e-05,0.001033,0.000113
lh_LOF-Or_0,RD,605,4424.0,0.572829,0.082381,0.556052,0.097308
lh_LOF-Or_0,MD,605,4424.0,0.00078,6.8e-05,0.000763,7.5e-05
lh_LOF-Or_0,ISO,605,4424.0,0.759713,0.046742,0.748359,0.080145
lh_LOF-Or_0,RDI,605,4424.0,0.48657,0.0199,0.482624,0.031758
lh_LOF-RMF_0,QA,129,2024.0,0.231165,0.027848,0.239816,0.02119
lh_LOF-RMF_0,QIR,129,2024.0,0.33124,0.040865,0.344354,0.036561
lh_LOF-RMF_0,FA,129,2024.0,0.439962,0.050277,0.449957,0.040134
lh_LOF-RMF_0,AD,129,2024.0,0.001101,6.1e-05,0.001114,7.2e-05
lh_LOF-RMF_0,RD,129,2024.0,0.512486,0.04769,0.504981,0.05849
lh_LOF-RMF_0,MD,129,2024.0,0.000779,3.6e-05,0.000784,5.4e-05
lh_LOF-RMF_0,ISO,129,2024.0,0.730542,0.01533,0.728382,0.013518
lh_LOF-RMF_0,RDI,129,2024.0,0.483571,0.008848,0.483757,0.009384
lh_Li-Li_0,QA,957,7040.0,0.124778,0.047415,0.109307,0.061721
lh_Li-Li_0,QIR,957,7040.0,0.173971,0.071379,0.149641,0.092557
lh_Li-Li_0,FA,957,7040.0,0.222507,0.077333,0.208434,0.107903
lh_Li-Li_0,AD,957,7040.0,0.001004,0.00013,0.000967,0.000178
lh_Li-Li_0,RD,957,7040.0,0.733674,0.163224,0.705891,0.248407
lh_Li-Li_0,MD,957,7040.0,0.000838,0.000145,0.000796,0.00022
lh_Li-Li_0,ISO,957,7040.0,0.735832,0.042628,0.731609,0.045662
lh_Li-Li_0,RDI,957,7040.0,0.458421,0.025272,0.456832,0.028635
lh_MOF-MOF_0,QA,1037,3792.0,0.158238,0.042222,0.158715,0.061692
lh_MOF-MOF_0,QIR,1037,3792.0,0.191964,0.066256,0.189669,0.096104
lh_MOF-MOF_0,FA,1037,3792.0,0.27656,0.084863,0.27829,0.118324
lh_MOF-MOF_0,AD,1037,3792.0,0.000966,0.000111,0.000945,0.000147
lh_MOF-MOF_0,RD,1037,3792.0,0.619622,0.14966,0.58772,0.196089
lh_MOF-MOF_0,MD,1037,3792.0,0.000793,0.000118,0.000747,0.000145
lh_MOF-MOF_0,ISO,1037,3792.0,0.892528,0.078261,0.885565,0.092085
